DATASET_SYMBOL
#Symbol datasets allow the display of various symbols on the branches of the tree. For each node, one or more symbols can be defined.
#Each symbol's color, size and position along the branch can be specified.

#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL example_symbols

#dataset color (can be changed later)
COLOR #ffff00

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#


#largest symbol will be displayed with this size, others will be proportionally smaller.
MAXIMUM_SIZE 10


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
#the following fields are required for each node:
#ID,symbol,size,color,fill,position
#symbol should be a number between 1 and 5:
#1: rectangle
#2: circle
#3: star
#4: left pointing triangle
#5: right pointing triangle

#size can be any number. Maximum size in the dataset will be displayed using MAXIMUM_SIZE, while others will be proportionally smaller
#color can be in hexadecimal, RGB or RGBA notation. If RGB or RGBA are used, dataset SEPARATOR cannot be comma.
#fill can be 1 or 0. If set to 0, only the outline of the symbol will be displayed.
#position is a number between 0 and 1 and defines the position of the symbol on the branch (for example, position 0 is exactly at the start of node branch, position 0.5 is in the middle, and position 1 is at the end)

DATA
I149 3 15 rgba(175,76,25,0.2) 1 0.79 label_I149
I149 2 25 rgba(75,14,71,1.0) 0 0.66 label_I149
I149 5 48 rgba(244,199,16,0.2) 0 0.77 label_I149
I149 1 27 rgba(244,252,255,0.2) 1 0.93 label_I149
I110 3 25 rgba(157,176,103,0.5) 1 0.68 label_I110
I110 2 26 rgba(37,51,43,0.6) 1 0.91 label_I110
I78 3 27 rgba(23,81,157,0.8) 0 0.55 label_I78
I64 2 19 rgba(188,183,210,0.9) 0 0.33 label_I64
I64 5 27 rgba(14,10,162,0.5) 0 0.55 label_I64
I59 1 10 rgba(47,55,57,0.1) 1 0.76 label_I59
I59 4 10 rgba(105,19,165,0.5) 1 0.38 label_I59
I54 4 40 rgba(107,186,194,0.7) 1 0.8 label_I54
I54 5 13 rgba(136,94,154,0.8) 0 0.25 label_I54
I42 2 34 rgba(120,2,56,0.6) 1 0.35 label_I42
I42 1 17 rgba(63,7,9,0.5) 0 0.47 label_I42
I42 5 34 rgba(59,95,17,0.1) 0 0.73 label_I42
I42 1 30 rgba(157,165,181,0.8) 0 0.98 label_I42
I42 5 21 rgba(113,181,17,0.8) 0 0.53 label_I42
I34 4 10 rgba(69,236,161,0.4) 1 0.48 label_I34
I33 4 31 rgba(40,227,90,0.8) 0 0.04 label_I33
I33 1 15 rgba(205,8,39,0.4) 0 0.52 label_I33
I29 3 27 rgba(104,177,220,0.1) 1 0.07 label_I29
I29 5 41 rgba(247,22,55,0.9) 0 0.82 label_I29
I29 3 36 rgba(43,218,54,0.6) 1 0.58 label_I29
I29 1 24 rgba(25,125,89,1.0) 1 0.26 label_I29
I26 2 20 rgba(181,202,107,0.2) 1 0.87 label_I26
I26 5 47 rgba(205,255,98,0.8) 1 0.97 label_I26
I26 3 27 rgba(190,47,79,0.2) 1 0.54 label_I26
I26 5 11 rgba(198,118,216,0.6) 1 0.7 label_I26
I25 2 23 rgba(115,179,54,0.2) 0 0.73 label_I25
I25 3 30 rgba(242,1,45,0.2) 1 0.74 label_I25
I25 4 35 rgba(164,91,222,0.6) 1 0.94 label_I25
I25 4 17 rgba(5,163,118,0.9) 0 0.19 label_I25
I20 2 49 rgba(212,176,208,0.6) 1 0.69 label_I20
I20 4 30 rgba(102,214,95,0.5) 1 0.86 label_I20
I17 4 47 rgba(115,236,63,1.0) 1 0.87 label_I17
I12 2 47 rgba(180,61,188,0.5) 0 0.91 label_I12
I12 3 26 rgba(23,224,187,0.7) 0 0.43 label_I12
I12 1 13 rgba(212,159,157,1.0) 0 0.97 label_I12
I12 2 28 rgba(60,245,65,0.8) 0 0.14 label_I12
I12 5 50 rgba(151,79,171,0.5) 1 0.5 label_I12
I8 4 31 rgba(106,51,124,0.4) 0 0.32 label_I8
I8 3 35 rgba(187,124,163,0.4) 1 0.11 label_I8
I8 2 36 rgba(252,102,159,0.8) 1 0.67 label_I8
I8 3 14 rgba(74,147,182,0.7) 0 0.67 label_I8
I5 4 32 rgba(160,205,225,0.5) 1 0.87 label_I5
I5 3 31 rgba(51,158,173,0.2) 1 0.1 label_I5
I5 4 19 rgba(238,227,175,0.6) 0 0.48 label_I5
I5 3 49 rgba(141,53,144,0.4) 0 0.38 label_I5
I1 2 22 rgba(249,158,125,0.3) 1 0.78 label_I1
I1 3 32 rgba(204,26,246,0.2) 1 0.19 label_I1
I1 3 21 rgba(51,87,200,0.3) 0 0.19 label_I1
I1 4 20 rgba(183,249,254,0.7) 0 0.23 label_I1
I1 4 10 rgba(147,220,64,1.0) 1 0.09 label_I1
155864 4 27 rgba(84,28,116,0.1) 1 0.06 label_155864
83334 1 46 rgba(116,99,237,0.8) 0 0.76 label_83334
83334 4 12 rgba(71,228,105,0.9) 1 0.89 label_83334
83334 3 20 rgba(176,226,173,0.9) 1 0.8 label_83334
83334 5 38 rgba(112,77,194,1.0) 0 0.45 label_83334
I4 2 10 rgba(137,12,36,0.1) 1 0.38 label_I4
I4 4 23 rgba(252,161,151,0.8) 1 0.47 label_I4
I4 3 40 rgba(201,10,162,0.4) 0 0.53 label_I4
I4 4 42 rgba(104,228,30,0.3) 1 0.97 label_I4
I4 3 50 rgba(255,55,237,0.7) 1 0.2 label_I4
I2 5 16 rgba(111,148,231,0.2) 0 0.6 label_I2
I2 2 21 rgba(157,224,180,0.7) 1 0.54 label_I2
I2 4 39 rgba(242,198,95,0.3) 0 0.94 label_I2
I2 1 12 rgba(254,63,106,0.1) 1 0.06 label_I2
I2 3 45 rgba(23,173,29,0.2) 1 0.71 label_I2
217992 4 27 rgba(163,54,235,0.7) 0 0.42 label_217992
217992 5 13 rgba(204,129,140,0.3) 1 0.05 label_217992
217992 5 38 rgba(173,131,30,0.2) 1 0.52 label_217992
217992 3 28 rgba(73,173,224,0.8) 1 0.92 label_217992
562 5 31 rgba(149,244,48,1.0) 0 0.29 label_562
562 5 28 rgba(233,194,12,0.7) 0 0.92 label_562
562 2 49 rgba(224,167,188,0.2) 1 0.7 label_562
562 5 27 rgba(53,37,95,0.5) 0 0.1 label_562
I3 3 18 rgba(175,219,135,0.8) 0 0.78 label_I3
I3 1 13 rgba(53,169,222,0.3) 1 0.86 label_I3
I3 3 31 rgba(9,211,221,0.9) 1 0.29 label_I3
I3 4 25 rgba(175,141,236,0.4) 1 0.88 label_I3
I3 4 17 rgba(103,93,216,0.3) 1 0.97 label_I3
198215 2 44 rgba(72,181,213,1.0) 0 0.13 label_198215
623 1 25 rgba(247,113,109,1.0) 1 0.81 label_623
623 1 47 rgba(120,253,163,0.6) 1 0.34 label_623
I7 1 41 rgba(184,166,102,0.6) 1 0.83 label_I7
I7 5 16 rgba(218,181,195,0.3) 0 0.13 label_I7
I7 2 28 rgba(206,0,225,0.6) 0 0.66 label_I7
I6 1 43 rgba(131,131,156,0.9) 0 0.04 label_I6
I6 4 22 rgba(130,159,54,0.7) 1 0.92 label_I6
209261 2 43 rgba(170,249,188,1.0) 1 0.19 label_209261
209261 3 47 rgba(149,37,186,1.0) 1 0.56 label_209261
209261 4 22 rgba(138,158,34,0.8) 1 0.46 label_209261
209261 3 13 rgba(12,94,13,0.6) 1 0.95 label_209261
209261 4 20 rgba(24,238,255,0.5) 0 0.54 label_209261
601 3 46 rgba(116,59,125,0.3) 1 0.9 label_601
601 3 27 rgba(208,50,247,0.5) 0 0.33 label_601
601 5 14 rgba(47,218,149,0.3) 0 0.02 label_601
601 3 18 rgba(252,109,69,0.8) 0 0.89 label_601
602 2 46 rgba(243,121,221,0.3) 1 0.98 label_602
602 5 38 rgba(4,167,8,0.6) 1 0.77 label_602
602 1 42 rgba(219,212,250,0.5) 0 0.88 label_602
602 2 26 rgba(33,2,53,0.1) 1 0.27 label_602
602 4 30 rgba(45,138,58,0.4) 1 0.2 label_602
I11 1 35 rgba(158,12,198,0.7) 1 0.23 label_I11
I11 4 35 rgba(238,251,23,0.6) 0 0.09 label_I11
I11 5 35 rgba(235,211,4,0.5) 1 0.63 label_I11
I11 3 26 rgba(24,246,135,0.4) 0 0.1 label_I11
